Story,Label,P1,P2,Responses
Charlie jumps in hole_4. Bob jumps in hole_4. Charlie jumps in hole_1. Bob jumps in hole_1. Charlie jumps out to the field. Bob jumps out to the field. Bob jumps in hole_1. Charlie jumps in hole_2. Charlie jumps in hole_3. Bob jumps in hole_3. Danny jumps out to the field. Danny jumps in hole_1. Danny jumps in hole_2. Charlie jumps out to the field. Charlie jumps in hole_4. Charlie jumps out to the field. Bob jumps in hole_2. Bob jumps in hole_1. Bob jumps in hole_3. Charlie jumps in hole_4. Bob jumps out to the field. Bob jumps in hole_2. Bob jumps out to the field. Bob jumps in hole_1. Bob jumps out to the field,hole_1,Alice,Danny,The story does not provide information on Alice's perspective or on the character Alice at all.
Alice jumps in hole_2. Bob jumps in hole_1. Bob jumps out to the field. Bob jumps in hole_1. Bob jumps in hole_2. Bob jumps in hole_1. Danny jumps in hole_4. Bob jumps in hole_2. Bob jumps out to the field. Bob jumps in hole_1. Charlie jumps in hole_4. Charlie jumps out to the field. Charlie jumps in hole_1. Bob jumps out to the field. Bob jumps in hole_1. Bob jumps in hole_2. Alice jumps in hole_1. Bob jumps in hole_3. Bob jumps in hole_2. Bob jumps out to the field. Alice jumps in hole_2. Bob jumps in hole_2. Bob jumps in hole_1. Bob jumps out to the field. Alice jumps in hole_1,field,Danny,Charlie,Danny thinks Charlie is in hole_1.
Danny jumps in hole_1. Danny jumps in hole_2. Danny jumps in hole_3. Danny jumps in hole_2. Bob jumps in hole_1. Alice jumps in hole_2. Alice jumps out to the field. Alice jumps in hole_1. Bob jumps in hole_3. Charlie jumps in hole_1. Charlie jumps in hole_3. Charlie jumps in hole_4. Charlie jumps in hole_1. Danny jumps in hole_3. Danny jumps out to the field. Danny jumps in hole_2. Danny jumps in hole_1. Danny jumps in hole_3. Danny jumps in hole_2. Alice jumps out to the field. Alice jumps in hole_2. Danny jumps out to the field. Danny jumps in hole_4. Danny jumps in hole_3. Danny jumps in hole_2,hole_4,Bob,Charlie,Bob thinks Charlie is in hole_1.
Danny jumps in hole_4. Charlie jumps in hole_2. Charlie jumps in hole_1. Bob jumps in hole_1. Bob jumps out to the field. Bob jumps in hole_4. Bob jumps in hole_3. Bob jumps out to the field. Bob jumps in hole_4. Charlie jumps in hole_2. Alice jumps in hole_4. Alice jumps in hole_3. Alice jumps out to the field. Bob jumps in hole_3. Charlie jumps in hole_3. Bob jumps in hole_4. Charlie jumps in hole_4. Charlie jumps out to the field. Bob jumps in hole_1. Bob jumps in hole_3. Bob jumps in hole_4. Charlie jumps in hole_4. Charlie jumps in hole_1. Charlie jumps out to the field. Charlie jumps in hole_4,hole_3,Danny,Alice,Danny thinks Alice is in the field.
Alice jumps in hole_2. Charlie jumps in hole_4. Alice jumps out to the field. Danny jumps in hole_1. Alice jumps in hole_4. Danny jumps out to the field. Alice jumps in hole_1. Danny jumps in hole_2. Danny jumps in hole_1. Danny jumps in hole_2. Bob jumps in hole_4. Bob jumps out to the field. Bob jumps in hole_2. Alice jumps out to the field. Alice jumps in hole_1. Alice jumps in hole_3. Danny jumps out to the field. Alice jumps in hole_2. Danny jumps in hole_4. Danny jumps in hole_1. Alice jumps in hole_1. Danny jumps in hole_3. Danny jumps out to the field. Danny jumps in hole_2. Danny jumps in hole_3,field,Charlie,Bob,Charlie thinks Bob is in hole_2.
Bob jumps in hole_2. Danny jumps in hole_1. Bob jumps in hole_3. Danny jumps in hole_2. Bob jumps out to the field. Bob jumps in hole_1. Bob jumps in hole_2. Bob jumps in hole_1. Bob jumps in hole_3. Danny jumps in hole_1. Alice jumps out to the field. Alice jumps in hole_2. Alice jumps in hole_3. Bob jumps out to the field. Bob jumps in hole_4. Bob jumps out to the field. Bob jumps in hole_1. Danny jumps out to the field. Danny jumps in hole_4. Danny jumps in hole_1. Bob jumps in hole_2. Bob jumps in hole_1. Bob jumps in hole_2. Danny jumps in hole_2. Bob jumps in hole_3,hole_2,Charlie,Alice,"The story does not provide information on Charlie's whereabouts or perspective, so it cannot be determined where Charlie thinks Alice is."
Alice jumps in hole_4. Alice jumps out to the field. Alice jumps in hole_4. Alice jumps in hole_1. Danny jumps in hole_2. Danny jumps in hole_3. Alice jumps in hole_2. Danny jumps in hole_2. Alice jumps out to the field. Alice jumps in hole_1. Charlie jumps out to the field. Charlie jumps in hole_2. Charlie jumps in hole_3. Danny jumps in hole_1. Danny jumps in hole_3. Alice jumps in hole_3. Danny jumps in hole_2. Alice jumps in hole_2. Alice jumps in hole_3. Alice jumps in hole_2. Danny jumps in hole_3. Alice jumps in hole_3. Danny jumps in hole_4. Danny jumps in hole_3. Danny jumps in hole_4,hole_2,Bob,Charlie,"The story does not provide information on Bob's whereabouts or his perspective, so we cannot determine where Bob thinks Charlie is."
Danny jumps in hole_2. Bob jumps in hole_4. Alice jumps in hole_4. Danny jumps out to the field. Bob jumps in hole_3. Bob jumps in hole_4. Danny jumps in hole_4. Bob jumps out to the field. Bob jumps in hole_2. Danny jumps out to the field. Charlie jumps in hole_4. Charlie jumps out to the field. Charlie jumps in hole_2. Bob jumps in hole_3. Bob jumps out to the field. Bob jumps in hole_2. Bob jumps in hole_1. Bob jumps in hole_2. Bob jumps in hole_3. Bob jumps in hole_2. Bob jumps in hole_3. Bob jumps in hole_4. Danny jumps in hole_4. Bob jumps out to the field. Danny jumps in hole_3,field,Alice,Charlie,Alice thinks Charlie is in hole_2.
Bob jumps in hole_1. Charlie jumps in hole_1. Danny jumps in hole_2. Charlie jumps in hole_2. Bob jumps out to the field. Bob jumps in hole_1. Bob jumps in hole_3. Bob jumps in hole_2. Bob jumps in hole_3. Charlie jumps in hole_3. Alice jumps in hole_2. Alice jumps in hole_3. Alice jumps in hole_4. Bob jumps out to the field. Bob jumps in hole_2. Charlie jumps out to the field. Bob jumps in hole_3. Bob jumps in hole_4. Charlie jumps in hole_4. Charlie jumps out to the field. Bob jumps in hole_3. Charlie jumps in hole_2. Bob jumps in hole_4. Charlie jumps out to the field. Bob jumps in hole_1,hole_3,Danny,Alice,Danny thinks Alice is in hole_4.
Bob jumps in hole_2. Bob jumps out to the field. Bob jumps in hole_2. Bob jumps out to the field. Bob jumps in hole_2. Charlie jumps in hole_4. Charlie jumps out to the field. Bob jumps in hole_1. Bob jumps in hole_2. Danny jumps in hole_2. Alice jumps in hole_2. Alice jumps out to the field. Alice jumps in hole_1. Charlie jumps in hole_1. Charlie jumps out to the field. Bob jumps in hole_3. Bob jumps out to the field. Charlie jumps in hole_1. Charlie jumps in hole_2. Bob jumps in hole_4. Charlie jumps in hole_1. Charlie jumps out to the field. Charlie jumps in hole_4. Charlie jumps out to the field. Bob jumps in hole_1,field,Danny,Alice,Danny thinks Alice is in hole_1.
Bob jumps in hole_4. Bob jumps out to the field. Danny jumps in hole_4. Danny jumps in hole_1. Bob jumps in hole_2. Alice jumps in hole_1. Bob jumps in hole_1. Danny jumps in hole_2. Danny jumps in hole_1. Bob jumps out to the field. Charlie jumps in hole_1. Charlie jumps in hole_2. Charlie jumps in hole_3. Bob jumps in hole_1. Danny jumps in hole_2. Danny jumps out to the field. Bob jumps in hole_2. Danny jumps in hole_2. Danny jumps out to the field. Bob jumps in hole_1. Danny jumps in hole_2. Bob jumps in hole_2. Danny jumps in hole_3. Danny jumps in hole_2. Danny jumps in hole_3,hole_2,Alice,Charlie,Alice thinks Charlie is in hole_3.
Alice jumps in hole_4. Bob jumps in hole_4. Alice jumps in hole_3. Alice jumps out to the field. Bob jumps in hole_3. Charlie jumps in hole_1. Alice jumps in hole_4. Bob jumps in hole_4. Bob jumps in hole_3. Bob jumps in hole_4. Danny jumps in hole_1. Danny jumps out to the field. Danny jumps in hole_2. Bob jumps out to the field. Bob jumps in hole_4. Alice jumps in hole_1. Bob jumps out to the field. Alice jumps out to the field. Bob jumps in hole_4. Alice jumps in hole_2. Bob jumps in hole_3. Bob jumps out to the field. Bob jumps in hole_2. Alice jumps out to the field. Alice jumps in hole_1,field,Charlie,Danny,Charlie thinks Danny is in hole_2.
Charlie jumps in hole_1. Danny jumps in hole_1. Bob jumps in hole_2. Charlie jumps in hole_3. Alice jumps in hole_1. Danny jumps in hole_2. Danny jumps out to the field. Bob jumps out to the field. Danny jumps in hole_4. Bob jumps in hole_2. Alice jumps in hole_3. Alice jumps out to the field. Alice jumps in hole_1. Danny jumps in hole_3. Bob jumps in hole_3. Danny jumps in hole_2. Bob jumps out to the field. Bob jumps in hole_2. Bob jumps in hole_1. Danny jumps in hole_1. Bob jumps out to the field. Bob jumps in hole_2. Bob jumps out to the field. Danny jumps in hole_3. Danny jumps out to the field,field,Charlie,Alice,Charlie thinks Alice is in hole_1.
Alice jumps in hole_1. Charlie jumps in hole_4. Danny jumps in hole_4. Alice jumps in hole_3. Alice jumps in hole_2. Alice jumps out to the field. Danny jumps in hole_3. Danny jumps in hole_4. Alice jumps in hole_1. Alice jumps out to the field. Bob jumps in hole_4. Bob jumps in hole_3. Bob jumps out to the field. Danny jumps out to the field. Alice jumps in hole_4. Danny jumps in hole_4. Danny jumps in hole_3. Danny jumps out to the field. Danny jumps in hole_2. Alice jumps in hole_1. Danny jumps in hole_1. Danny jumps in hole_2. Danny jumps in hole_3. Danny jumps in hole_2. Danny jumps in hole_1,hole_3,Charlie,Bob,Charlie thinks Bob is in the field.
Charlie jumps in hole_4. Danny jumps in hole_1. Danny jumps out to the field. Charlie jumps out to the field. Danny jumps in hole_2. Charlie jumps in hole_1. Charlie jumps in hole_3. Danny jumps in hole_3. Danny jumps in hole_4. Alice jumps in hole_2. Bob jumps in hole_2. Bob jumps in hole_1. Bob jumps in hole_3. Charlie jumps in hole_4. Danny jumps in hole_3. Danny jumps in hole_2. Danny jumps in hole_1. Danny jumps in hole_2. Charlie jumps in hole_1. Charlie jumps in hole_3. Danny jumps in hole_1. Charlie jumps in hole_2. Charlie jumps in hole_1. Danny jumps out to the field. Charlie jumps in hole_3,hole_1,Alice,Bob,Alice thinks Bob is in hole_3.
Alice jumps in hole_1. Charlie jumps in hole_1. Danny jumps in hole_2. Danny jumps out to the field. Danny jumps in hole_4. Bob jumps in hole_4. Bob jumps in hole_1. Danny jumps out to the field. Charlie jumps in hole_3. Bob jumps out to the field. Alice jumps in hole_3. Alice jumps in hole_4. Alice jumps in hole_1. Bob jumps in hole_2. Bob jumps in hole_3. Danny jumps in hole_2. Bob jumps out to the field. Bob jumps in hole_1. Bob jumps in hole_2. Danny jumps in hole_1. Bob jumps in hole_3. Danny jumps in hole_3. Danny jumps in hole_2. Bob jumps in hole_4. Bob jumps in hole_1,hole_4,Charlie,Alice,Charlie thinks Alice is in hole 1.
Bob jumps in hole_4. Bob jumps out to the field. Bob jumps in hole_2. Alice jumps in hole_1. Bob jumps in hole_1. Bob jumps out to the field. Alice jumps in hole_3. Bob jumps in hole_1. Alice jumps in hole_4. Bob jumps in hole_3. Charlie jumps out to the field. Charlie jumps in hole_2. Charlie jumps in hole_1. Alice jumps out to the field. Bob jumps in hole_2. Alice jumps in hole_4. Alice jumps out to the field. Bob jumps in hole_1. Alice jumps in hole_4. Bob jumps in hole_2. Bob jumps in hole_3. Bob jumps out to the field. Bob jumps in hole_1. Alice jumps in hole_3. Bob jumps in hole_2,hole_2,Danny,Charlie,Danny thinks Charlie is in hole_1.
Alice jumps in hole_4. Alice jumps in hole_1. Alice jumps in hole_2. Alice jumps out to the field. Alice jumps in hole_2. Bob jumps in hole_2. Bob jumps in hole_3. Alice jumps out to the field. Bob jumps in hole_2. Bob jumps out to the field. Danny jumps out to the field. Danny jumps in hole_4. Danny jumps in hole_1. Alice jumps in hole_1. Alice jumps in hole_2. Alice jumps out to the field. Bob jumps in hole_1. Bob jumps out to the field. Bob jumps in hole_4. Bob jumps out to the field. Bob jumps in hole_2. Alice jumps in hole_1. Bob jumps in hole_3. Bob jumps out to the field. Bob jumps in hole_1,hole_4,Charlie,Danny,Charlie thinks Danny is in hole_1.
Alice jumps in hole_4. Alice jumps in hole_1. Alice jumps in hole_3. Alice jumps in hole_2. Charlie jumps in hole_2. Alice jumps out to the field. Alice jumps in hole_4. Alice jumps in hole_3. Charlie jumps out to the field. Bob jumps in hole_2. Danny jumps in hole_2. Danny jumps in hole_1. Danny jumps in hole_3. Charlie jumps in hole_4. Alice jumps in hole_2. Charlie jumps out to the field. Charlie jumps in hole_1. Alice jumps in hole_3. Charlie jumps out to the field. Charlie jumps in hole_2. Alice jumps out to the field. Charlie jumps out to the field. Alice jumps in hole_4. Alice jumps in hole_3. Alice jumps out to the field,hole_1,Bob,Danny,Bob thinks Danny is in hole_3.
Danny jumps in hole_1. Bob jumps in hole_4. Danny jumps in hole_3. Alice jumps in hole_1. Alice jumps out to the field. Bob jumps in hole_1. Charlie jumps in hole_1. Bob jumps out to the field. Alice jumps in hole_4. Bob jumps in hole_2. Charlie jumps in hole_3. Charlie jumps out to the field. Charlie jumps in hole_1. Alice jumps in hole_1. Bob jumps in hole_1. Alice jumps in hole_2. Bob jumps out to the field. Alice jumps in hole_1. Bob jumps in hole_1. Alice jumps out to the field. Bob jumps in hole_2. Alice jumps in hole_2. Bob jumps in hole_3. Alice jumps in hole_3. Bob jumps in hole_4,field,Danny,Charlie,Danny thinks Charlie is in hole_1.
Alice jumps in hole_2. Bob jumps in hole_1. Alice jumps in hole_1. Alice jumps in hole_2. Bob jumps in hole_3. Alice jumps out to the field. Charlie jumps in hole_1. Charlie jumps in hole_3. Bob jumps in hole_4. Danny jumps in hole_1. Danny jumps in hole_3. Danny jumps in hole_2. Danny jumps in hole_1. Bob jumps in hole_3. Bob jumps in hole_2. Alice jumps in hole_4. Alice jumps in hole_1. Alice jumps in hole_2. Bob jumps in hole_3. Alice jumps in hole_1. Bob jumps in hole_4. Alice jumps in hole_2. Bob jumps out to the field. Alice jumps in hole_1. Alice jumps out to the field,hole_2,Charlie,Danny,Charlie thinks Danny is in hole 1.
Bob jumps in hole_2. Charlie jumps in hole_4. Charlie jumps out to the field. Bob jumps out to the field. Bob jumps in hole_1. Danny jumps in hole_4. Charlie jumps in hole_1. Bob jumps in hole_2. Bob jumps in hole_3. Charlie jumps in hole_3. Alice jumps in hole_4. Alice jumps in hole_1. Alice jumps in hole_2. Charlie jumps out to the field. Bob jumps in hole_2. Charlie jumps in hole_1. Bob jumps in hole_1. Bob jumps in hole_3. Bob jumps in hole_4. Bob jumps in hole_1. Charlie jumps out to the field. Charlie jumps in hole_4. Bob jumps out to the field. Charlie jumps in hole_3. Bob jumps in hole_2,hole_1,Danny,Alice,Danny thinks Alice is in hole_2.
Charlie jumps in hole_2. Charlie jumps in hole_3. Charlie jumps out to the field. Charlie jumps in hole_4. Charlie jumps out to the field. Charlie jumps in hole_4. Charlie jumps in hole_1. Alice jumps in hole_1. Bob jumps in hole_2. Alice jumps in hole_3. Danny jumps in hole_2. Danny jumps in hole_3. Danny jumps in hole_4. Alice jumps in hole_4. Alice jumps out to the field. Charlie jumps in hole_3. Alice jumps in hole_1. Charlie jumps out to the field. Alice jumps out to the field. Alice jumps in hole_1. Charlie jumps in hole_1. Alice jumps in hole_2. Alice jumps in hole_3. Charlie jumps in hole_2. Alice jumps in hole_4,hole_3,Bob,Danny,Bob thinks Danny is in hole 4.
Charlie jumps in hole_2. Danny jumps in hole_1. Danny jumps in hole_3. Charlie jumps out to the field. Charlie jumps in hole_4. Charlie jumps in hole_3. Danny jumps in hole_4. Alice jumps in hole_4. Danny jumps out to the field. Charlie jumps out to the field. Bob jumps in hole_4. Bob jumps in hole_1. Bob jumps out to the field. Danny jumps in hole_1. Charlie jumps in hole_1. Danny jumps in hole_3. Danny jumps in hole_2. Danny jumps in hole_1. Charlie jumps in hole_2. Charlie jumps out to the field. Danny jumps in hole_2. Charlie jumps in hole_2. Danny jumps in hole_3. Charlie jumps in hole_1. Charlie jumps in hole_3,hole_1,Alice,Bob,Alice thinks Bob is in the field.
Alice jumps in hole_1. Charlie jumps in hole_2. Danny jumps in hole_1. Danny jumps in hole_3. Charlie jumps in hole_3. Danny jumps in hole_2. Danny jumps out to the field. Charlie jumps out to the field. Danny jumps in hole_1. Danny jumps in hole_3. Bob jumps in hole_1. Bob jumps out to the field. Bob jumps in hole_4. Danny jumps in hole_4. Charlie jumps in hole_4. Danny jumps in hole_1. Danny jumps out to the field. Charlie jumps out to the field. Danny jumps in hole_4. Charlie jumps in hole_4. Charlie jumps in hole_1. Charlie jumps in hole_3. Charlie jumps in hole_4. Charlie jumps in hole_3. Charlie jumps in hole_2,field,Alice,Bob,Alice thinks Bob is in hole 4.
Charlie jumps in hole_1. Charlie jumps out to the field. Bob jumps in hole_1. Danny jumps in hole_1. Bob jumps out to the field. Bob jumps in hole_4. Alice jumps in hole_1. Danny jumps in hole_3. Charlie jumps in hole_2. Bob jumps in hole_1. Alice jumps in hole_3. Alice jumps out to the field. Alice jumps in hole_2. Bob jumps in hole_2. Charlie jumps out to the field. Charlie jumps in hole_2. Charlie jumps in hole_1. Charlie jumps in hole_2. Charlie jumps out to the field. Bob jumps in hole_3. Bob jumps out to the field. Bob jumps in hole_1. Bob jumps in hole_3. Charlie jumps in hole_4. Charlie jumps out to the field,field,Danny,Alice,Danny thinks Alice is in hole_3.
Danny jumps in hole_4. Bob jumps in hole_2. Bob jumps in hole_1. Danny jumps in hole_3. Danny jumps in hole_2. Danny jumps in hole_3. Bob jumps in hole_2. Alice jumps in hole_1. Bob jumps out to the field. Bob jumps in hole_1. Charlie jumps in hole_1. Charlie jumps out to the field. Charlie jumps in hole_4. Bob jumps in hole_2. Danny jumps in hole_2. Danny jumps in hole_3. Danny jumps out to the field. Bob jumps in hole_1. Bob jumps out to the field. Bob jumps in hole_4. Bob jumps in hole_1. Danny jumps in hole_2. Bob jumps in hole_2. Danny jumps out to the field. Danny jumps in hole_2,field,Alice,Charlie,Alice thinks Charlie is in hole_4.
Charlie jumps in hole_4. Danny jumps in hole_4. Danny jumps in hole_1. Charlie jumps in hole_3. Danny jumps in hole_3. Danny jumps in hole_2. Alice jumps in hole_2. Charlie jumps in hole_4. Danny jumps in hole_1. Danny jumps in hole_3. Bob jumps in hole_2. Bob jumps in hole_3. Bob jumps out to the field. Charlie jumps in hole_3. Charlie jumps in hole_2. Charlie jumps out to the field. Danny jumps in hole_2. Charlie jumps in hole_1. Charlie jumps in hole_3. Charlie jumps in hole_4. Danny jumps in hole_1. Danny jumps in hole_3. Danny jumps out to the field. Charlie jumps in hole_3. Charlie jumps in hole_4,hole_3,Alice,Bob,Alice thinks Bob is in the field.
Alice jumps in hole_1. Danny jumps in hole_1. Bob jumps in hole_1. Alice jumps out to the field. Alice jumps in hole_1. Alice jumps in hole_3. Bob jumps in hole_3. Alice jumps in hole_2. Bob jumps out to the field. Alice jumps in hole_1. Charlie jumps in hole_1. Charlie jumps in hole_3. Charlie jumps in hole_2. Bob jumps in hole_2. Alice jumps in hole_3. Alice jumps out to the field. Bob jumps in hole_3. Alice jumps in hole_4. Alice jumps in hole_3. Alice jumps in hole_2. Bob jumps out to the field. Bob jumps in hole_2. Bob jumps in hole_3. Alice jumps out to the field. Bob jumps out to the field,hole_3,Danny,Charlie,Danny thinks Charlie is in hole 2.
Danny jumps in hole_1. Alice jumps in hole_4. Alice jumps out to the field. Bob jumps in hole_1. Alice jumps in hole_1. Danny jumps in hole_3. Charlie jumps in hole_1. Alice jumps out to the field. Alice jumps in hole_4. Alice jumps in hole_3. Bob jumps in hole_3. Bob jumps out to the field. Bob jumps in hole_2. Charlie jumps out to the field. Charlie jumps in hole_1. Charlie jumps out to the field. Charlie jumps in hole_4. Charlie jumps in hole_1. Charlie jumps in hole_2. Alice jumps out to the field. Charlie jumps out to the field. Charlie jumps in hole_4. Alice jumps in hole_2. Alice jumps in hole_1. Charlie jumps out to the field,field,Danny,Bob,Danny thinks Bob is in hole_2.
