Story,Tom_Label,P1,P2,WM_Label,TOM Responses,WM Responses Humans,WM Responses Objects
The ball is moved to room_4. The ball is moved to room_3. The hat is moved to room_2. The apple is moved to room_4. The apple is moved to room_1. The shoe is moved to room_1. The apple is moved to the_hallway. The apple is moved to room_4. The shoe is moved to room_5. The bottle is moved to room_2. The chess piece is moved to room_2. The hat is moved to room_3. The shoe is moved to room_4. The ball is moved to the_hallway. The hat is moved to room_4. The ball is moved to room_1. The bottle is moved to the_hallway. The ball is moved to room_5. The apple is moved to room_3. The hat is moved to room_1. The chess piece is moved to the_hallway. The chess piece is moved to room_4. The ball is moved to room_1. The shoe is moved to room_5. The shoe is moved to room_1. The ball is moved to the_hallway. The shoe is moved to room_2. The apple is moved to the_hallway. The shoe is moved to the_hallway. The apple is moved to room_2,the hallway,"the hat,the bottle",the chess piece,the hallway,hallway,hallway,hallway
The hat is moved to room_4. The apple is moved to room_4. The ball is moved to room_4. The shoe is moved to room_4. The shoe is moved to room_3. The ball is moved to room_3. The hat is moved to room_5. The hat is moved to room_1. The hat is moved to room_5. The bottle is moved to room_4. The apple is moved to room_3. The shoe is moved to room_4. The bottle is moved to room_1. The hat is moved to room_4. The chess piece is moved to room_2. The bottle is moved to the_hallway. The bottle is moved to room_1. The ball is moved to room_2. The hat is moved to room_5. The ball is moved to room_3. The apple is moved to room_4. The apple is moved to room_1. The bottle is moved to room_2. The hat is moved to room_2. The hat is moved to the_hallway. The hat is moved to room_4. The chess piece is moved to room_1. The chess piece is moved to room_5. The hat is moved to room_3. The chess piece is moved to room_1,room 4,"the ball,the shoe",the apple,room 4,room 1,room 1,room 1
The apple is moved to room_1. The shoe is moved to room_4. The apple is moved to room_2. The shoe is moved to room_1. The shoe is moved to the_hallway. The hat is moved to room_4. The bottle is moved to room_1. The ball is moved to room_4. The shoe is moved to room_2. The shoe is moved to the_hallway. The chess piece is moved to room_4. The hat is moved to room_5. The apple is moved to room_1. The ball is moved to room_5. The bottle is moved to the_hallway. The shoe is moved to room_2. The bottle is moved to room_2. The bottle is moved to room_1. The apple is moved to room_2. The apple is moved to room_1. The chess piece is moved to room_5. The chess piece is moved to room_2. The apple is moved to room_2. The shoe is moved to room_1. The bottle is moved to the_hallway. The bottle is moved to room_1. The shoe is moved to the_hallway. The apple is moved to room_3. The bottle is moved to room_2. The shoe is moved to room_4,room 5,"the ball,the hat",the chess piece,room 5,room 5,room 5,room 2
The shoe is moved to room_2. The shoe is moved to room_1. The shoe is moved to room_2. The bottle is moved to room_4. The shoe is moved to room_1. The shoe is moved to room_5. The ball is moved to room_1. The ball is moved to room_5. The hat is moved to room_4. The apple is moved to room_2. The chess piece is moved to room_4. The ball is moved to room_2. The hat is moved to room_5. The shoe is moved to room_1. The ball is moved to room_3. The shoe is moved to room_2. The apple is moved to room_3. The bottle is moved to room_5. The apple is moved to the_hallway. The ball is moved to room_2. The chess piece is moved to room_5. The chess piece is moved to room_2. The shoe is moved to room_1. The shoe is moved to room_2. The ball is moved to room_1. The shoe is moved to room_3. The apple is moved to room_2. The shoe is moved to the_hallway. The apple is moved to the_hallway. The ball is moved to room_2,room 5,"the bottle,the hat",the chess piece,room 5,room 5,room 5,room 5
The chess piece is moved to room_2. The hat is moved to room_1. The ball is moved to room_1. The apple is moved to room_4. The bottle is moved to room_1. The hat is moved to room_5. The apple is moved to room_1. The hat is moved to room_2. The apple is moved to room_2. The chess piece is moved to room_1. The shoe is moved to room_1. The hat is moved to the_hallway. The ball is moved to the_hallway. The ball is moved to room_1. The apple is moved to room_3. The bottle is moved to room_5. The hat is moved to room_4. The apple is moved to room_4. The apple is moved to room_3. The chess piece is moved to the_hallway. The shoe is moved to room_5. The shoe is moved to room_2. The hat is moved to room_1. The apple is moved to room_4. The apple is moved to room_3. The hat is moved to room_5. The apple is moved to room_4. The hat is moved to room_4. The chess piece is moved to room_1. The chess piece is moved to the_hallway,room 5,"the ball,the bottle",the shoe,room 5,hallway,room 5,room 1
The chess piece is moved to room_1. The bottle is moved to room_4. The chess piece is moved to room_5. The ball is moved to room_4. The shoe is moved to room_1. The chess piece is moved to room_4. The shoe is moved to room_2. The hat is moved to room_2. The shoe is moved to room_1. The chess piece is moved to room_3. The apple is moved to room_4. The bottle is moved to room_3. The ball is moved to room_1. The bottle is moved to room_4. The chess piece is moved to room_2. The bottle is moved to room_5. The hat is moved to room_3. The shoe is moved to room_2. The chess piece is moved to room_3. The shoe is moved to room_1. The apple is moved to room_1. The apple is moved to room_2. The hat is moved to room_4. The hat is moved to room_5. The shoe is moved to room_2. The shoe is moved to room_1. The hat is moved to room_4. The hat is moved to room_3. The shoe is moved to the_hallway. The shoe is moved to room_1,room 1,"the bottle,the ball",the apple,room 1,room 1,room 2,room 2
The hat is moved to room_2. The chess piece is moved to room_4. The chess piece is moved to room_3. The apple is moved to room_2. The apple is moved to the_hallway. The chess piece is moved to room_2. The chess piece is moved to room_3. The shoe is moved to room_1. The ball is moved to room_1. The hat is moved to the_hallway. The bottle is moved to room_1. The hat is moved to room_2. The ball is moved to the_hallway. The shoe is moved to the_hallway. The shoe is moved to room_4. The shoe is moved to room_5. The apple is moved to room_4. The shoe is moved to room_4. The shoe is moved to room_1. The hat is moved to the_hallway. The bottle is moved to the_hallway. The bottle is moved to room_2. The chess piece is moved to room_2. The chess piece is moved to room_1. The chess piece is moved to the_hallway. The apple is moved to room_5. The apple is moved to room_4. The hat is moved to room_1. The hat is moved to room_5. The chess piece is moved to room_1,the hallway,"the shoe,the ball",the bottle,the hallway,hallway,hallway,hallway
The chess piece is moved to room_1. The chess piece is moved to room_2. The shoe is moved to room_2. The apple is moved to room_4. The shoe is moved to room_1. The shoe is moved to the_hallway. The ball is moved to room_4. The chess piece is moved to room_3. The chess piece is moved to room_4. The shoe is moved to room_4. The bottle is moved to room_4. The hat is moved to room_4. The ball is moved to room_3. The chess piece is moved to room_5. The chess piece is moved to room_2. The hat is moved to room_1. The shoe is moved to room_3. The apple is moved to room_3. The chess piece is moved to room_1. The hat is moved to the_hallway. The bottle is moved to room_3. The bottle is moved to the_hallway. The shoe is moved to room_2. The shoe is moved to the_hallway. The hat is moved to room_1. The chess piece is moved to room_5. The chess piece is moved to room_1. The chess piece is moved to room_5. The shoe is moved to room_1. The chess piece is moved to room_2,room 3,"the apple,the ball",the bottle,room 3,hallway,hallway,hallway
The apple is moved to room_1. The bottle is moved to room_1. The ball is moved to room_1. The hat is moved to room_1. The apple is moved to room_5. The shoe is moved to room_4. The chess piece is moved to room_1. The chess piece is moved to room_5. The ball is moved to room_2. The shoe is moved to room_5. The hat is moved to room_5. The bottle is moved to the_hallway. The shoe is moved to room_4. The ball is moved to the_hallway. The chess piece is moved to room_4. The apple is moved to room_4. The ball is moved to room_4. The chess piece is moved to room_5. The chess piece is moved to room_4. The bottle is moved to room_4. The hat is moved to room_4. The hat is moved to room_3. The ball is moved to room_1. The ball is moved to the_hallway. The ball is moved to room_4. The shoe is moved to room_1. The ball is moved to room_5. The shoe is moved to the_hallway. The ball is moved to room_1. The shoe is moved to room_2,room 4,"the chess piece,the apple",the hat,room 4,room 5,room 3,room 5
The hat is moved to room_1. The bottle is moved to room_4. The shoe is moved to room_2. The apple is moved to room_1. The bottle is moved to room_5. The bottle is moved to room_4. The ball is moved to room_1. The hat is moved to room_5. The ball is moved to room_5. The bottle is moved to room_1. The apple is moved to room_5. The bottle is moved to the_hallway. The shoe is moved to the_hallway. The shoe is moved to room_2. The chess piece is moved to room_1. The hat is moved to room_1. The chess piece is moved to room_2. The shoe is moved to the_hallway. The ball is moved to room_1. The shoe is moved to room_2. The apple is moved to room_1. The apple is moved to room_2. The shoe is moved to room_1. The chess piece is moved to room_1. The shoe is moved to the_hallway. The shoe is moved to room_2. The shoe is moved to the_hallway. The chess piece is moved to room_5. The bottle is moved to room_4. The bottle is moved to room_5,room 1,"the hat,the ball",the apple,room 1,room 2,room 2,room 2
The hat is moved to room_2. The chess piece is moved to room_2. The chess piece is moved to room_1. The apple is moved to room_4. The ball is moved to room_1. The apple is moved to room_3. The shoe is moved to room_4. The hat is moved to room_3. The bottle is moved to room_4. The bottle is moved to room_3. The shoe is moved to room_3. The chess piece is moved to the_hallway. The hat is moved to room_4. The apple is moved to room_4. The chess piece is moved to room_1. The chess piece is moved to room_5. The apple is moved to room_1. The ball is moved to room_5. The apple is moved to room_2. The bottle is moved to the_hallway. The shoe is moved to the_hallway. The shoe is moved to room_4. The hat is moved to room_3. The hat is moved to room_4. The hat is moved to room_3. The hat is moved to room_2. The ball is moved to room_1. The ball is moved to room_2. The ball is moved to the_hallway. The hat is moved to room_1,the hallway,"the apple,the bottle",the shoe,the hallway,hallway,hallway,hallway
The shoe is moved to room_4. The chess piece is moved to room_4. The bottle is moved to room_1. The chess piece is moved to room_5. The apple is moved to room_4. The shoe is moved to room_3. The ball is moved to room_4. The apple is moved to room_5. The hat is moved to room_4. The ball is moved to room_3. The hat is moved to room_3. The apple is moved to room_2. The chess piece is moved to room_4. The ball is moved to the_hallway. The ball is moved to room_2. The chess piece is moved to room_3. The apple is moved to room_1. The shoe is moved to room_4. The apple is moved to room_2. The bottle is moved to the_hallway. The hat is moved to room_4. The hat is moved to room_5. The apple is moved to the_hallway. The chess piece is moved to room_2. The chess piece is moved to room_3. The chess piece is moved to room_2. The chess piece is moved to room_3. The bottle is moved to room_4. The chess piece is moved to room_2. The bottle is moved to room_5,room 4,"the ball,the shoe",the hat,room 4,room 5,room 5,room 5
The shoe is moved to room_4. The chess piece is moved to room_4. The shoe is moved to room_1. The bottle is moved to room_4. The apple is moved to room_4. The shoe is moved to the_hallway. The bottle is moved to room_3. The ball is moved to room_2. The ball is moved to room_1. The apple is moved to room_3. The chess piece is moved to room_3. The shoe is moved to room_4. The shoe is moved to room_1. The bottle is moved to the_hallway. The shoe is moved to room_2. The bottle is moved to room_2. The apple is moved to room_2. The bottle is moved to room_1. The bottle is moved to the_hallway. The hat is moved to room_2. The chess piece is moved to room_2. The chess piece is moved to the_hallway. The ball is moved to the_hallway. The ball is moved to room_2. The shoe is moved to room_1. The ball is moved to room_1. The hat is moved to room_3. The ball is moved to room_5. The shoe is moved to room_5. The ball is moved to room_4,room 2,"the bottle,the apple",the chess piece,room 2,room 2,hallway,hallway
The chess piece is moved to room_2. The bottle is moved to room_2. The bottle is moved to room_3. The bottle is moved to room_4. The shoe is moved to room_2. The shoe is moved to room_1. The bottle is moved to room_1. The hat is moved to room_2. The ball is moved to room_2. The bottle is moved to the_hallway. The apple is moved to room_2. The shoe is moved to the_hallway. The chess piece is moved to room_3. The hat is moved to room_1. The bottle is moved to room_4. The bottle is moved to room_1. The ball is moved to room_1. The chess piece is moved to room_2. The bottle is moved to room_2. The shoe is moved to room_1. The apple is moved to room_1. The apple is moved to room_5. The bottle is moved to room_1. The bottle is moved to room_2. The bottle is moved to room_3. The bottle is moved to room_4. The chess piece is moved to the_hallway. The bottle is moved to room_3. The bottle is moved to room_4. The shoe is moved to the_hallway,room 1,"the ball,the hat",the apple,room 1,hallway,room 5,room 5
The apple is moved to room_2. The chess piece is moved to room_4. The hat is moved to room_2. The ball is moved to room_2. The ball is moved to room_3. The ball is moved to room_2. The ball is moved to room_1. The apple is moved to room_3. The apple is moved to room_2. The bottle is moved to room_2. The shoe is moved to room_2. The hat is moved to the_hallway. The bottle is moved to room_1. The apple is moved to room_1. The bottle is moved to room_5. The ball is moved to room_5. The apple is moved to room_5. The ball is moved to room_4. The chess piece is moved to room_1. The ball is moved to room_1. The shoe is moved to the_hallway. The shoe is moved to room_1. The ball is moved to the_hallway. The ball is moved to room_1. The chess piece is moved to the_hallway. The chess piece is moved to room_4. The chess piece is moved to room_5. The apple is moved to room_4. The ball is moved to the_hallway. The apple is moved to room_5,the hallway,"the bottle,the hat",the shoe,the hallway,hallway,hallway,hallway
The ball is moved to room_1. The shoe is moved to room_1. The shoe is moved to room_5. The ball is moved to room_5. The bottle is moved to room_4. The bottle is moved to room_5. The hat is moved to room_1. The chess piece is moved to room_1. The chess piece is moved to room_5. The chess piece is moved to room_2. The hat is moved to room_5. The shoe is moved to room_2. The chess piece is moved to room_3. The chess piece is moved to room_4. The bottle is moved to room_4. The apple is moved to room_2. The ball is moved to room_1. The bottle is moved to room_1. The chess piece is moved to room_5. The ball is moved to the_hallway. The hat is moved to room_2. The hat is moved to the_hallway. The bottle is moved to the_hallway. The bottle is moved to room_1. The bottle is moved to room_2. The bottle is moved to room_3. The apple is moved to room_1. The apple is moved to the_hallway. The chess piece is moved to room_4. The apple is moved to room_2,room 2,"the ball,the shoe",the hat,room 2,room 5,room 5,room 5
The ball is moved to room_1. The ball is moved to room_5. The hat is moved to room_1. The ball is moved to room_1. The ball is moved to room_5. The ball is moved to room_2. The chess piece is moved to room_4. The ball is moved to the_hallway. The bottle is moved to room_1. The chess piece is moved to room_3. The shoe is moved to room_1. The apple is moved to room_1. The hat is moved to the_hallway. The apple is moved to the_hallway. The apple is moved to room_2. The chess piece is moved to room_4. The ball is moved to room_4. The apple is moved to room_3. The ball is moved to room_3. The bottle is moved to room_2. The shoe is moved to the_hallway. The shoe is moved to room_2. The chess piece is moved to room_3. The ball is moved to room_4. The apple is moved to the_hallway. The ball is moved to room_3. The apple is moved to room_4. The chess piece is moved to the_hallway. The ball is moved to room_2. The apple is moved to room_5,the hallway,"the bottle,the hat",the shoe,the hallway,hallway,hallway,room 1
The bottle is moved to room_1. The chess piece is moved to room_1. The hat is moved to room_1. The chess piece is moved to room_5. The shoe is moved to room_1. The apple is moved to room_2. The ball is moved to room_1. The hat is moved to room_2. The shoe is moved to room_5. The ball is moved to room_2. The bottle is moved to room_5. The hat is moved to room_3. The apple is moved to the_hallway. The ball is moved to room_3. The hat is moved to room_2. The shoe is moved to room_4. The apple is moved to room_1. The ball is moved to room_2. The hat is moved to the_hallway. The ball is moved to room_3. The bottle is moved to room_4. The bottle is moved to room_1. The ball is moved to the_hallway. The apple is moved to the_hallway. The hat is moved to room_4. The hat is moved to room_3. The hat is moved to the_hallway. The hat is moved to room_1. The ball is moved to room_2. The apple is moved to room_1,room 4,"the chess piece,the shoe",the bottle,room 4,room 5,room 5,hallway
The chess piece is moved to room_4. The bottle is moved to room_4. The bottle is moved to room_3. The hat is moved to room_2. The shoe is moved to room_1. The bottle is moved to room_2. The ball is moved to room_2. The shoe is moved to the_hallway. The bottle is moved to room_1. The chess piece is moved to room_1. The apple is moved to room_2. The ball is moved to the_hallway. The bottle is moved to room_5. The shoe is moved to room_1. The bottle is moved to room_2. The shoe is moved to the_hallway. The shoe is moved to room_1. The chess piece is moved to room_2. The shoe is moved to room_2. The shoe is moved to room_3. The apple is moved to the_hallway. The apple is moved to room_1. The chess piece is moved to room_1. The shoe is moved to room_4. The shoe is moved to room_5. The chess piece is moved to room_5. The bottle is moved to room_3. The shoe is moved to room_4. The bottle is moved to the_hallway. The shoe is moved to room_5,the hallway,"the hat,the ball",the apple,the hallway,hallway,hallway,hallway
The apple is moved to room_1. The shoe is moved to room_2. The hat is moved to room_2. The bottle is moved to room_1. The chess piece is moved to room_2. The bottle is moved to room_5. The ball is moved to room_1. The apple is moved to room_5. The hat is moved to room_1. The chess piece is moved to room_3. The ball is moved to room_5. The hat is moved to room_5. The hat is moved to room_4. The apple is moved to room_1. The hat is moved to room_1. The chess piece is moved to room_2. The shoe is moved to the_hallway. The chess piece is moved to room_3. The shoe is moved to room_1. The hat is moved to room_5. The ball is moved to room_1. The ball is moved to room_2. The chess piece is moved to the_hallway. The shoe is moved to the_hallway. The shoe is moved to room_4. The chess piece is moved to room_4. The hat is moved to room_1. The hat is moved to room_5. The chess piece is moved to room_5. The hat is moved to room_1,room 1,"the bottle,the apple",the ball,room 1,room 1,hallway,room 5
The shoe is moved to room_2. The hat is moved to room_2. The hat is moved to room_3. The ball is moved to room_4. The hat is moved to room_4. The chess piece is moved to room_2. The ball is moved to room_5. The ball is moved to room_2. The bottle is moved to room_2. The ball is moved to the_hallway. The apple is moved to room_2. The shoe is moved to room_3. The ball is moved to room_1. The chess piece is moved to the_hallway. The shoe is moved to room_2. The bottle is moved to room_1. The hat is moved to room_1. The hat is moved to room_5. The ball is moved to room_2. The hat is moved to room_2. The apple is moved to the_hallway. The apple is moved to room_4. The ball is moved to room_1. The bottle is moved to room_2. The bottle is moved to room_3. The ball is moved to room_5. The hat is moved to room_3. The ball is moved to room_4. The ball is moved to room_5. The ball is moved to room_1,the hallway,"the shoe,the chess piece",the apple,the hallway,room 4,hallway,hallway
The chess piece is moved to room_1. The shoe is moved to room_1. The apple is moved to room_1. The apple is moved to room_5. The bottle is moved to room_2. The bottle is moved to room_3. The hat is moved to room_4. The hat is moved to room_3. The bottle is moved to room_2. The chess piece is moved to room_5. The shoe is moved to room_5. The apple is moved to room_2. The ball is moved to room_1. The chess piece is moved to room_2. The bottle is moved to the_hallway. The bottle is moved to room_4. The apple is moved to the_hallway. The bottle is moved to room_5. The hat is moved to the_hallway. The ball is moved to room_2. The shoe is moved to room_2. The shoe is moved to room_1. The hat is moved to room_1. The hat is moved to room_2. The hat is moved to room_3. The ball is moved to room_1. The ball is moved to room_5. The bottle is moved to room_4. The ball is moved to room_2. The bottle is moved to room_1,room 2,"the apple,the chess piece",the shoe,room 2,room 5,room 5,room 5
The apple is moved to room_4. The apple is moved to room_1. The shoe is moved to room_4. The apple is moved to room_2. The ball is moved to room_4. The bottle is moved to room_4. The hat is moved to room_2. The shoe is moved to room_1. The shoe is moved to room_2. The apple is moved to room_3. The chess piece is moved to room_4. The ball is moved to room_3. The ball is moved to room_2. The bottle is moved to room_3. The hat is moved to the_hallway. The hat is moved to room_4. The apple is moved to the_hallway. The shoe is moved to room_1. The apple is moved to room_2. The apple is moved to room_1. The chess piece is moved to room_3. The chess piece is moved to the_hallway. The apple is moved to room_5. The apple is moved to room_2. The apple is moved to the_hallway. The shoe is moved to the_hallway. The apple is moved to room_2. The apple is moved to room_3. The shoe is moved to room_2. The apple is moved to room_4,room 3,"the ball,the bottle",the chess piece,room 3,hallway,hallway,hallway
The shoe is moved to room_1. The hat is moved to room_4. The chess piece is moved to room_1. The chess piece is moved to the_hallway. The shoe is moved to the_hallway. The hat is moved to room_3. The bottle is moved to room_2. The shoe is moved to room_4. The apple is moved to room_2. The chess piece is moved to room_1. The ball is moved to room_2. The shoe is moved to room_3. The bottle is moved to room_1. The hat is moved to room_4. The hat is moved to room_3. The shoe is moved to the_hallway. The bottle is moved to room_5. The apple is moved to the_hallway. The shoe is moved to room_1. The chess piece is moved to room_5. The ball is moved to the_hallway. The ball is moved to room_1. The chess piece is moved to room_4. The shoe is moved to room_2. The chess piece is moved to room_1. The hat is moved to the_hallway. The chess piece is moved to room_5. The shoe is moved to the_hallway. The shoe is moved to room_2. The chess piece is moved to room_1,the hallway,"the bottle,the apple",the ball,the hallway,hallway,hallway,hallway
The apple is moved to room_1. The bottle is moved to room_4. The chess piece is moved to room_2. The chess piece is moved to room_1. The chess piece is moved to room_2. The shoe is moved to room_1. The chess piece is moved to the_hallway. The hat is moved to room_1. The hat is moved to room_5. The shoe is moved to room_5. The apple is moved to room_5. The ball is moved to room_1. The shoe is moved to room_2. The bottle is moved to room_3. The ball is moved to the_hallway. The hat is moved to room_1. The ball is moved to room_1. The chess piece is moved to room_4. The chess piece is moved to room_3. The bottle is moved to room_4. The apple is moved to room_2. The apple is moved to room_1. The chess piece is moved to room_4. The chess piece is moved to room_1. The bottle is moved to room_5. The ball is moved to room_2. The bottle is moved to room_1. The bottle is moved to the_hallway. The chess piece is moved to room_5. The bottle is moved to room_1,room 2,"the hat,the shoe",the apple,room 2,room 5,room 2,room 5
